@relation water_quality_

@attribute ph numeric
@attribute Hardness numeric
@attribute Solids numeric
@attribute Chloramines numeric
@attribute Sulfate numeric
@attribute Organic_carbon numeric
@attribute Trihalomethanes numeric
@attribute Turbidity numeric
@attribute Check numeric

@data
?,204.890456,20791.31898,7.300212,368.516441,10.379783,86.99097,2.963135,0
3.71608,129.422921,18630.05786,6.635246,?,15.180013,56.329076,4.500656,0
8.099124,224.236259,19909.54173,9.275884,?,16.868637,66.420093,3.055934,0
8.316766,214.373394,22018.41744,8.059332,356.886136,18.436525,100.341674,4.628771,0
9.092223,181.101509,17978.98634,6.5466,310.135738,11.558279,31.997993,4.075075,0
5.584087,188.313324,28748.68774,7.544869,326.678363,8.399735,54.917862,2.559708,0
10.223862,248.071735,28749.71654,7.513408,393.663395,13.789695,84.603556,2.672989,0
8.635849,203.361523,13672.09176,4.563009,303.309771,12.363817,62.798309,4.401425,0
?,118.988579,14285.58385,7.804174,268.646941,12.706049,53.928846,3.595017,0
11.180284,227.231469,25484.50849,9.0772,404.041635,17.927806,71.976601,4.370562,0
7.36064,165.520797,32452.61441,7.550701,326.624353,15.58681,78.740016,3.662292,0
7.974522,218.6933,18767.65668,8.110385,?,14.525746,76.485911,4.011718,0
7.119824,156.704993,18730.81365,3.606036,282.34405,15.929536,79.500778,3.445756,0
?,150.174923,27331.36196,6.838223,299.415781,19.370807,76.509996,4.413974,0
7.496232,205.344982,28388.00489,5.072558,?,13.228311,70.300213,4.777382,0
6.347272,186.732881,41065.23476,9.629596,364.487687,11.539781,75.071617,4.376348,0
7.051786,211.049406,30980.60079,10.094796,?,20.397022,56.651604,4.268429,0
9.18156,273.813807,24041.32628,6.90499,398.350517,13.387341,71.457362,4.503661,0
8.975464,279.357167,19460.39813,6.204321,?,12.888759,63.821237,2.436086,0
7.37105,214.496611,25630.32004,4.432669,335.754439,12.509164,62.797277,2.560299,0
?,227.435048,22305.56741,10.333918,?,16.331693,45.382815,4.133423,0
6.660212,168.283747,30944.36359,5.858769,310.930858,17.884235,77.042318,3.749701,0
?,215.977859,17107.22423,5.60706,326.943978,14.189062,59.855476,5.459251,0
3.902476,196.903247,21167.5001,6.996312,?,16.609033,90.181676,4.528523,0
5.400302,140.739062,17266.59342,10.056852,328.358241,11.256381,56.931906,4.824786,0
6.514415,198.767351,21218.70287,8.670937,323.596349,14.9,79.847843,5.200885,0
3.445062,207.92626,33424.76868,8.782147,384.007006,13.805902,30.284597,4.184397,0
?,145.768181,13224.93564,7.906445,304.001993,12.729525,49.536849,4.004871,0
?,266.421018,26362.96501,7.700063,395.38949,10.348951,53.008381,3.991564,0
?,148.153061,15193.41347,9.046833,307.011793,16.568656,52.676185,6.038185,0
7.181449,209.6256,15196.22999,5.994679,338.336431,7.922598,71.537953,5.08886,0
9.82549,190.756618,19677.89247,6.757541,?,16.899038,47.081971,2.857472,0
10.433291,117.79123,22326.89205,8.161505,307.707509,12.890709,65.733478,5.057311,0
7.414148,235.044534,32555.85254,6.845952,387.175317,10.244815,44.489297,3.160624,0
?,232.280452,14787.20626,5.474915,?,12.166937,86.080727,5.029167,0
5.115817,191.952743,19620.54533,6.060713,323.836384,10.966486,49.238231,3.902089,0
3.64163,183.908722,24752.07246,5.538314,286.059556,9.034067,73.594657,3.464353,0
5.618064,304.235912,17281.97517,6.101084,?,12.265002,81.588992,2.896547,0
?,143.453731,19942.27322,5.890755,?,22.469892,53.124094,2.907564,0
9.267188,198.614395,24683.72357,6.110612,328.077533,16.471969,30.383315,4.324005,0
?,233.858996,11703.92391,4.599388,309.03932,18.338893,42.677465,3.510004,0
5.33194,194.874065,16658.8765,7.99383,316.675162,10.180514,59.572714,4.43482,0
7.145772,238.689929,28780.34043,6.814029,385.97565,11.093163,66.138045,5.182591,0
9.920691,202.817483,9973.934059,6.882248,337.350529,23.917601,71.833624,4.690707,0
4.758439,183.349454,21568.42878,4.731349,?,18.668229,66.9124,4.542801,0
5.702926,216.850474,35606.44018,7.184351,?,16.14079,77.536184,4.137739,0
6.953864,209.638293,10575.18628,4.462707,315.606594,13.285334,87.390889,3.19571,0
10.682966,173.375498,15758.74062,5.570784,307.352586,10.09087,78.472784,3.999775,0
?,129.890572,34415.85315,6.321929,304.535224,18.59941,72.403634,4.405586,0
8.757257,200.1914,21536.22469,4.915101,317.882901,13.768323,47.930872,3.626135,0
?,168.388431,27492.30731,7.046225,299.820478,16.182066,75.729434,3.048057,0
7.809632,100.457615,12013.55063,5.212315,247.200826,9.611349,66.084174,2.447444,0
6.652488,145.010172,19871.78845,4.961066,288.052192,10.942024,71.727414,3.74209,0
9.147197,211.714142,11920.61084,7.230795,339.751919,18.275312,47.634885,3.794532,0
10.560745,181.893366,21783.65103,6.99126,340.390378,16.482835,34.252049,3.964686,0
7.484255,260.092173,30616.61515,9.379134,?,15.934484,66.621027,4.781188,0
8.520807,238.335113,28779.65001,8.282808,381.649323,6.016337,39.091171,3.940605,0
4.999414,190.28705,24323.8659,7.230164,324.893038,8.236558,99.427385,4.460684,0
?,157.801194,16963.62501,8.335619,300.044234,12.823861,71.717005,4.405386,0
?,155.055727,20557.24043,8.187319,?,16.622255,59.622057,4.089908,0
3.906078,233.402835,32144.79993,6.99484,348.359448,9.654126,63.743064,3.90288,0
6.391354,213.01783,20965.47831,5.37556,327.650542,13.758105,17.915723,3.923749,0
?,229.485694,35729.69271,8.810843,384.943779,16.927092,?,3.855602,0
8.692092,195.143739,24656.23968,8.2319,?,12.380771,48.440725,4.47796,0
8.08576,127.739674,32653.91036,6.534237,?,11.119659,78.27505,4.068689,0
6.203978,212.306618,21815.07415,7.873992,?,14.933013,63.87382,5.215689,0
5.058109,238.56938,34873.93452,8.983276,374.433505,13.353181,76.5218,5.106656,0
?,103.464759,27420.16742,8.417305,?,11.351133,67.869964,4.620793,0
?,211.200526,12830.48413,4.502117,326.961518,16.045148,49.898406,3.43974,0
7.261551,179.889788,24964.7777,5.837086,349.269271,17.287713,50.993006,3.636364,0
7.160467,183.08931,6743.346066,3.803036,277.599099,9.799625,90.035374,3.884891,0
5.704765,116.29933,33223.58153,7.050503,297.078153,9.00182,48.147031,4.157533,0
6.217273,130.944464,19460.38282,7.092463,300.131272,14.083608,57.897075,5.325833,0
8.679935,242.228667,22984.05095,7.518765,?,18.704409,69.907902,3.87347,0
?,219.300914,14859.46642,5.598327,344.442394,15.771834,49.352001,4.655917,0
6.897322,211.360167,25650.77764,6.76601,?,13.934788,90.52333,5.022784,0
3.514546,158.732076,23029.66361,6.821679,286.522847,9.712232,79.850929,3.762615,0
3.7225,163.639747,37962.16799,6.68457,326.694018,14.567269,50.577979,3.662838,0
6.455005,176.683973,24468.04839,5.75693,314.799598,16.245504,57.729724,2.293431,0
7.316805,217.522862,31903.39981,9.865048,376.937972,8.992754,69.50922,3.508373,0
1.844538,233.764343,28689.59578,7.724432,?,15.611859,54.299444,5.013463,0
5.519126,168.728583,12531.60192,7.730723,?,18.099078,?,3.758996,0
7.408985,204.96175,9566.12227,6.505923,311.452662,11.532144,81.106938,3.772421,0
5.97677,258.952732,27267.98186,7.648599,383.657152,12.25679,82.469798,2.994671,0
6.395359,133.834229,23827.27502,5.127747,266.908428,9.833875,95.026609,4.191218,0
6.209642,195.417721,13116.70771,7.879348,?,7.507662,70.547387,3.61252,0
6.762833,232.075177,27159.38435,7.884991,350.445293,13.863965,64.812257,4.916579,0
9.918717,199.181251,21470.27831,6.799841,329.178429,15.966043,59.292273,3.385508,0
10.15544,300.292476,12652.36298,6.655126,398.647786,9.347634,67.919789,5.002467,0
8.721727,206.369682,28608.05208,6.325442,377.404538,13.553751,42.381484,2.555027,0
?,197.979783,17153.30616,7.659204,329.280315,11.870981,69.109836,4.383922,0
?,199.107886,29721.91163,6.86969,357.303221,9.226619,55.294283,3.355165,0
6.099647,237.919927,20416.841,8.457831,?,19.270054,93.138009,3.17279,0
9.026788,253.217074,27965.07215,6.588374,373.553235,16.145732,59.124451,2.019042,0
6.953372,203.146547,11609.10905,5.495738,304.283193,9.387781,55.958006,3.651866,0
6.140878,197.87609,26687.87448,7.587196,329.231853,15.83633,41.263648,5.35946,0
7.077874,220.67054,23873.37821,6.18184,341.987234,10.661799,90.29777,4.764508,0
5.488314,135.802362,21485.1532,8.187416,280.603287,14.860263,88.287346,5.066786,0
7.205559,120.327615,24627.86756,6.202469,289.768697,13.643147,63.733732,3.710053,0
9.17787,163.274828,20868.33122,7.72604,320.421432,10.214275,62.430926,3.10877,0
4.270716,166.837708,24405.25053,7.39151,297.206739,13.478526,54.47484,3.763906,0
7.348845,223.26494,11519.04653,8.889559,?,18.145374,73.715522,4.880875,0
8.52617,175.612836,11837.12336,7.483709,308.398515,21.845916,52.372201,5.083014,0
?,169.041918,36152.8209,8.330389,329.03971,17.695114,103.150463,3.995974,0
2.612036,188.804126,34798.25259,6.796439,?,13.170763,49.52377,4.765205,0
8.490572,204.123648,22989.79639,8.270793,358.847115,17.084246,62.421637,3.875557,0
?,213.541932,22539.71161,6.957204,334.041186,11.623019,69.61585,3.398593,0
8.858402,254.617519,9624.300462,7.954016,348.408195,7.935468,78.10855,5.525726,0
6.098157,189.995846,27776.90105,6.443098,347.9304,14.636882,73.424632,3.977362,0
8.419971,185.718989,13237.9896,3.998266,308.142639,17.209565,48.783112,3.962478,0
9.286155,222.661551,12311.26837,7.289866,332.239359,14.171763,?,5.239982,0
7.875895,226.284788,12710.24945,7.303127,346.403258,6.063462,63.128044,4.238589,0
7.725333,252.265491,36477.73811,8.386761,426.54359,17.485844,60.483885,3.724837,0
3.388091,212.028944,20230.12558,8.569782,349.155999,18.20834,82.387874,2.798601,0
6.745307,218.424637,21871.8387,7.165509,?,16.826619,74.08608,3.902353,0
?,190.423899,28062.64189,9.615147,357.22671,13.445225,67.055558,5.629016,0
7.183826,261.8508,14100.96899,9.008495,358.724702,17.149907,82.025116,4.597166,0
10.111977,240.4321,15331.30269,5.392651,361.902926,16.131124,61.111146,3.425763,0
7.397413,122.54104,8855.114121,6.888689,241.607532,13.365906,?,3.149158,0
7.812804,196.583886,42550.84182,7.334648,?,14.666917,?,6.204846,0
6.877457,136.879214,27433.58729,7.091522,307.397088,18.403846,81.193412,3.82765,0
?,146.970245,16367.45837,7.687037,?,18.601381,49.561969,4.66435,0
?,230.809483,27418.78104,7.136498,369.310008,9.578585,72.376909,4.197595,0
7.521052,267.059647,26865.37374,10.44945,?,16.237746,57.03778,2.880785,0
8.550875,231.248787,28918.41995,7.822528,369.264223,16.266297,73.149464,3.772887,0
10.308478,217.219746,27653.23518,8.912266,369.531206,6.580402,59.57604,3.285077,0
?,252.670469,29368.67418,9.906147,433.952212,13.221034,84.198607,5.052737,0
7.371085,207.716824,24913.83717,9.61633,362.30018,11.542662,67.720704,4.41259,0
11.180695,228.30086,16600.39275,6.094001,?,15.035047,110.739299,3.809842,0
6.506488,202.285938,17087.0769,6.201983,326.662368,16.535186,46.205748,3.548776,0
6.643936,151.8896,10909.19459,3.749625,240.936722,15.264742,64.203964,3.812953,0
5.033774,155.321477,34971.80748,7.121477,320.115497,18.312499,63.193306,3.244948,0
6.912608,155.740495,17973.17886,4.916303,275.908228,18.380712,55.507468,2.612249,0
